trial_id,epoch,train_loss,val_rmse_log
18,1,0.8061261988544464,0.5540104555217409
18,2,0.2664860213811057,0.48772233876881865
18,3,0.24258276819365365,0.47771471797403503
18,4,0.23290823170934405,0.473870343833067
18,5,0.22453175364221845,0.46853226638980644
18,6,0.217602601045881,0.46556610152437133
18,7,0.21113886966228484,0.46128263832247784
18,8,0.2059317171416964,0.4580107859174664
18,9,0.20072654831545694,0.4568362020337849
18,10,0.1963942694071361,0.4549377325921495
18,11,0.19295582815374646,0.45667608848725616
18,12,0.18975198393685477,0.45892596079417053
18,13,0.1879602949653353,0.45272239282953797
18,14,0.18601675224781036,0.45310859074979903
18,15,0.18447833098002842,0.45287886972100677
18,16,0.18306255256720952,0.4503623849032859
18,17,0.18153902033805847,0.449849559935759
18,18,0.18076727405548096,0.4523356491981365
18,19,0.17928417781216757,0.4508651553391428
18,20,0.17839972524302347,0.449118688590977
